Route_Name,Route_Link
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Motihari to Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari
Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
Patna (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/patna-to-ranchi
Hazaribagh to Patna (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-patna
Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna
Patna (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/patna-to-kathmandu
Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
Lucknow to Motihari,https://www.redbus.in/bus-tickets/lucknow-to-motihari
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
Ranchi to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur
Patna (Bihar) to Raxaul,https://www.redbus.in/bus-tickets/patna-to-raxaul
Purnea to Patna (Bihar),https://www.redbus.in/bus-tickets/purnea-to-patna
Agra to Motihari,https://www.redbus.in/bus-tickets/agra-to-motihari
Hazaribagh to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-muzaffarpur
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
Katihar to Patna (Bihar),https://www.redbus.in/bus-tickets/katihar-to-patna
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj
Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna
Patna (Bihar) to Saharsa,https://www.redbus.in/bus-tickets/patna-to-saharsa
Patna (Bihar) to Darbhanga,https://www.redbus.in/bus-tickets/patna-to-darbhanga
Lucknow to Darbhanga,https://www.redbus.in/bus-tickets/lucknow-to-darbhanga
Patna (Bihar) to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/patna-to-muzaffarpur
Ranchi to Bihar Sharif,https://www.redbus.in/bus-tickets/ranchi-to-bihar-sharif
Lucknow to Gopalganj (Bihar),https://www.redbus.in/bus-tickets/lucknow-to-gopalganj
Darbhanga to Lucknow,https://www.redbus.in/bus-tickets/darbhanga-to-lucknow
Gopalganj (Bihar) to Lucknow,https://www.redbus.in/bus-tickets/gopalganj-to-lucknow
Muzaffarpur (Bihar) to Bihar Sharif,https://www.redbus.in/bus-tickets/muzaffarpur-to-bihar-sharif
Kathmandu to Patna (Bihar),https://www.redbus.in/bus-tickets/kathmandu-to-patna
