Route_name,Route_link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seats_available
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 515,Ordinary 3+2 Non AC Seater,12:30:00,10h 20m,22:50:00,4.2,512.0,36
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 551,A/C Executive (2+3),15:30:00,10h 00m,01:30:00,4.0,632.0,42
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 525,Ordinary 3+2 Non AC Seater,16:50:00,10h 10m,03:00:00,4.2,512.0,26
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 532,Ordinary 3+2 Non AC Seater,17:59:00,10h 16m,04:15:00,2.3,512.0,27
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 538,Ordinary 3+2 Non AC Seater,18:31:00,10h 59m,05:30:00,4.6,512.0,27
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35:00,09h 10m,04:45:00,3.6,912.0,28
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 301,Ordinary 3+2 Non AC Seater,19:43:00,09h 47m,05:30:00,4.5,512.0,27
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 556,Ordinary 3+2 Non AC Seater,20:10:00,09h 35m,05:45:00,4.5,512.0,27
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 591,A/C Executive (2+3),21:00:00,10h 20m,07:20:00,3.7,632.0,40
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02:00,09h 28m,06:30:00,4.7,912.0,19
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 570,Ordinary 3+2 Non AC Seater,21:25:00,09h 20m,06:45:00,2.6,512.0,37
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 20,Himsuta AC Seater Volvo/Scania 2+2,21:36:00,07h 54m,05:30:00,4.0,887.0,28
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 518,Ordinary 3+2 Non AC Seater,21:58:00,09h 17m,07:15:00,2.5,512.0,27
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 9,Himsuta AC Seater Volvo/Scania 2+2,22:00:00,09h 30m,07:30:00,4.5,912.0,31
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 36,Himsuta AC Seater Volvo/Scania 2+2,22:30:00,08h 00m,06:30:00,4.1,887.0,34
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 579,Ordinary 3+2 Non AC Seater,22:30:00,09h 45m,08:15:00,4.1,512.0,27
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 22,Himsuta AC Seater Volvo/Scania 2+2,23:00:00,08h 50m,07:50:00,4.4,912.0,29
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,HRTC - 564,Ordinary 3+2 Non AC Seater,23:40:00,09h 25m,09:05:00,4.4,512.0,34
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:30:00,08h 10m,07:40:00,4.5,500.0,37
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25:00,08h 20m,07:45:00,4.5,499.0,31
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00:00,09h 00m,08:00:00,4.7,486.0,25
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30:00,08h 30m,08:00:00,4.5,499.0,43
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Bharat Benz A/C Semi Sleeper (2+2),22:50:00,08h 50m,07:40:00,4.2,569.0,34
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:50:00,09h 50m,07:40:00,4.2,500.0,2
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:55:00,10h 10m,09:05:00,4.4,509.0,33
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:55:00,07h 30m,07:25:00,3.6,522.0,34
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30:00,07h 30m,06:00:00,3.4,529.0,26
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,FlixBus,Volvo A/C Seater (2+2),23:55:00,08h 40m,08:35:00,3.3,453.2,18
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,SWAGATAM TOUR HOLIDAY,Volvo A/C Multi-Axle Semi Sleeper (2+2),20:00:00,09h 20m,05:20:00,1.9,999.0,47
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),21:00:00,10h 30m,07:30:00,2.9,1500.0,33
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),21:30:00,09h 00m,06:30:00,,1399.0,22
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 9236,A/C Executive (2+3),12:05:00,04h 05m,16:10:00,4.4,340.0,28
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 1515,Ordinary 3+2 Non AC Seater,13:20:00,06h 55m,20:15:00,3.2,373.0,37
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 1529,Ordinary 3+2 Non AC Seater,13:56:00,05h 09m,19:05:00,3.2,364.0,35
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 1516,A/C Executive (2+3),15:00:00,03h 50m,18:50:00,4.2,340.0,33
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 1546,Ordinary 3+2 Non AC Seater,16:25:00,04h 50m,21:15:00,3.2,334.0,27
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 9235,A/C Executive (2+3),16:40:00,05h 20m,22:00:00,4.5,399.0,44
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 401670,Ordinary 3+2 Non AC Seater,18:00:00,04h 00m,22:00:00,4.2,310.0,37
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,HRTC - 1549,Ordinary 3+2 Non AC Seater,18:15:00,06h 45m,01:00:00,3.9,362.0,37
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 620,Ordinary 3+2 Non AC Seater,15:10:00,05h 30m,20:40:00,4.1,364.0,37
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 656,Ordinary 3+2 Non AC Seater,15:10:00,08h 55m,00:05:00,3.9,461.0,37
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 603,Ordinary 3+2 Non AC Seater,16:40:00,06h 30m,23:10:00,3.9,373.0,37
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 401270,Ordinary 3+2 Non AC Seater,17:05:00,04h 00m,21:05:00,3.5,310.0,34
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 602,Ordinary 3+2 Non AC Seater,17:20:00,05h 40m,23:00:00,3.9,334.0,34
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 955,Ordinary 3+2 Non AC Seater,17:40:00,06h 15m,23:55:00,3.9,334.0,37
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 622,Ordinary 3+2 Non AC Seater,21:15:00,05h 15m,02:30:00,3.3,369.0,33
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20:00,04h 55m,01:15:00,4.6,449.0,31
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:15:00,04h 05m,01:20:00,4.8,550.0,25
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00:00,05h 10m,03:10:00,4.5,600.0,28
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 24,Himsuta AC Seater Volvo/Scania 2+2,13:45:00,08h 00m,21:45:00,4.6,887.0,20
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 103,Ordinary 3+2 Non AC Seater,17:18:00,08h 57m,02:15:00,4.2,512.0,37
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 181,Ordinary 3+2 Non AC Seater,17:50:00,10h 25m,04:15:00,3.8,512.0,37
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 104,A/C Executive (2+3),18:20:00,10h 10m,04:30:00,3.4,632.0,40
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 188,Ordinary 3+2 Non AC Seater,19:25:00,09h 32m,04:57:00,4.2,512.0,37
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 2040093,Ordinary 3+2 Non AC Seater,19:40:00,09h 32m,05:12:00,4.2,512.0,37
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 1711,Ordinary 3+2 Non AC Seater,20:00:00,09h 30m,05:30:00,4.2,512.0,37
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 74,Himsuta AC Seater Volvo/Scania 2+2,20:00:00,09h 00m,05:00:00,4.4,912.0,26
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 3,Himsuta AC Seater Volvo/Scania 2+2,21:00:00,09h 00m,06:00:00,4.5,912.0,23
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 108,A/C Executive (2+3),21:20:00,09h 32m,06:52:00,3.9,632.0,43
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 19,Himsuta AC Seater Volvo/Scania 2+2,21:30:00,08h 30m,06:00:00,4.4,912.0,23
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 1712,Ordinary 3+2 Non AC Seater,21:30:00,08h 30m,06:00:00,3.3,512.0,27
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 130,Ordinary 3+2 Non AC Seater,21:45:00,08h 30m,06:15:00,4.4,512.0,37
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 179,Ordinary 3+2 Non AC Seater,22:00:00,08h 30m,06:30:00,3.4,512.0,24
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 35,Himsuta AC Seater Volvo/Scania 2+2,22:00:00,08h 15m,06:15:00,4.6,912.0,15
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 92,Himsuta AC Seater Volvo/Scania 2+2,22:30:00,08h 30m,07:00:00,4.4,912.0,15
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,HRTC - 136,Ordinary 3+2 Non AC Seater,22:30:00,08h 00m,06:30:00,3.5,512.0,27
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,16:30:00,09h 30m,02:00:00,2.5,1117.0,37
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2),21:30:00,08h 00m,05:30:00,4.8,459.0,22
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30:00,08h 00m,04:30:00,4.5,400.0,40
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:30:00,07h 00m,05:30:00,4.0,529.0,30
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),22:00:00,08h 40m,06:40:00,4.5,500.0,25
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),20:30:00,08h 20m,04:50:00,4.4,463.0,32
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,FlixBus,Volvo A/C Seater (2+2),20:00:00,09h 00m,05:00:00,3.6,286.88,26
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00:00,07h 00m,05:00:00,3.7,488.0,29
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,SWAGATAM TOUR HOLIDAY,Volvo A/C Multi-Axle Semi Sleeper (2+2),19:00:00,09h 00m,04:00:00,,999.0,49
